Htno,Subcode,Subname,Grade,Credits
20L31A1927,1000201211,Wave Optics and Semiconductor Physics Lab,A,1.5
20L31A1927,1005201212,Data Structures Lab,B,1.5
20L31A1927,1019201210,IT Workshop,O,1.5
20L31A1927,1000201121,Constitution of India,CP,-
20L31A1928,1000201102,Technical English Communication,B,2
20L31A1928,1000201203,Wave Optics and Semiconductor Physics,B,3
20L31A1928,1002201202,Network Analysis,C,3
20L31A1928,1005201203,Data Structures,C,3
20L31A1928,1019201200,Digital Logic Design Principles,A,3
20L31A1928,1000201110,Technical English Communication Lab,O,1.5
20L31A1928,1000201211,Wave Optics and Semiconductor Physics Lab,C,1.5
20L31A1928,1005201212,Data Structures Lab,A,1.5
20L31A1928,1019201210,IT Workshop,O,1.5
20L31A1928,1000201121,Constitution of India,CP,-
20L31A1929,1000201102,Technical English Communication,D,2
20L31A1929,1000201203,Wave Optics and Semiconductor Physics,F,0
20L31A1929,1002201202,Network Analysis,F,0
20L31A1929,1005201203,Data Structures,F,0
20L31A1929,1019201200,Digital Logic Design Principles,F,0
20L31A1929,1000201110,Technical English Communication Lab,A,1.5
20L31A1929,1000201211,Wave Optics and Semiconductor Physics Lab,C,1.5
20L31A1929,1005201212,Data Structures Lab,C,1.5
20L31A1929,1019201210,IT Workshop,A,1.5
20L31A1929,1000201121,Constitution of India,NCP,-
20L31A1930,1000201102,Technical English Communication,D,2
20L31A1930,1000201203,Wave Optics and Semiconductor Physics,F,0
20L31A1930,1002201202,Network Analysis,F,0
20L31A1930,1005201203,Data Structures,D,3
20L31A1930,1019201200,Digital Logic Design Principles,D,3
20L31A1930,1000201110,Technical English Communication Lab,A,1.5
20L31A1930,1000201211,Wave Optics and Semiconductor Physics Lab,C,1.5
20L31A1930,1005201212,Data Structures Lab,C,1.5
20L31A1930,1019201210,IT Workshop,A,1.5
20L31A1930,1000201121,Constitution of India,CP,-
20L31A1931,1000201102,Technical English Communication,B,2
20L31A1931,1000201203,Wave Optics and Semiconductor Physics,C,3
20L31A1931,1002201202,Network Analysis,C,3
20L31A1931,1005201203,Data Structures,C,3
20L31A1931,1019201200,Digital Logic Design Principles,B,3
20L31A1931,1000201110,Technical English Communication Lab,O,1.5
20L31A1931,1000201211,Wave Optics and Semiconductor Physics Lab,B,1.5
Htno,Subcode,Subname,Grade,Credits
20L31A1931,1005201212,Data Structures Lab,B,1.5
20L31A1931,1019201210,IT Workshop,O,1.5
20L31A1931,1000201121,Constitution of India,CP,-
20L31A1932,1000201102,Technical English Communication,C,2
20L31A1932,1000201203,Wave Optics and Semiconductor Physics,D,3
20L31A1932,1002201202,Network Analysis,D,3
20L31A1932,1005201203,Data Structures,D,3
20L31A1932,1019201200,Digital Logic Design Principles,D,3
20L31A1932,1000201110,Technical English Communication Lab,C,1.5
20L31A1932,1000201211,Wave Optics and Semiconductor Physics Lab,C,1.5
20L31A1932,1005201212,Data Structures Lab,C,1.5
20L31A1932,1019201210,IT Workshop,B,1.5
20L31A1932,1000201121,Constitution of India,CP,-
20L31A1933,1000201102,Technical English Communication,B,2
20L31A1933,1000201203,Wave Optics and Semiconductor Physics,B,3
20L31A1933,1002201202,Network Analysis,C,3
20L31A1933,1005201203,Data Structures,B,3
20L31A1933,1019201200,Digital Logic Design Principles,B,3
20L31A1933,1000201110,Technical English Communication Lab,O,1.5
20L31A1933,1000201211,Wave Optics and Semiconductor Physics Lab,B,1.5
20L31A1933,1005201212,Data Structures Lab,B,1.5
20L31A1933,1019201210,IT Workshop,O,1.5
20L31A1933,1000201121,Constitution of India,CP,-
20L31A1934,1000201102,Technical English Communication,B,2
20L31A1934,1000201203,Wave Optics and Semiconductor Physics,B,3
20L31A1934,1002201202,Network Analysis,C,3
20L31A1934,1005201203,Data Structures,C,3
20L31A1934,1019201200,Digital Logic Design Principles,A,3
